,,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
1,3200,28413087,43033,113599299,197072039,182885,2784076,2014,5228886,3367900,5934378,737,8018,23913372,28134484,0,0,21305113,346306387
1,3300,34067182,50812,127096775,215384089,189163,2693150,1746,4459639,2805883,4942931,769,7980,21832710,28007224,0,0,25611312,415193895
1,3400,28422856,42112,105337128,178630746,164309,2515530,1984,5172678,3367039,5923744,990,9366,24933390,30407652,0,0,22471336,360486090
1,3500,34040564,50886,127153759,215091764,175041,2556972,2054,5106711,3122478,5243561,1055,7416,20784841,25230546,0,0,24380457,400783285
1,3600,32227726,45636,109352978,184040648,149308,2274347,1722,4587967,3057422,5617359,1123,8019,24927209,30116213,0,0,25509095,410257337
1,3700,30350585,47187,123536364,210333950,193768,2837731,2079,5308854,3367794,5912297,887,9318,21878757,25061568,0,0,21364400,351312498
1,3800,34145061,50528,124208176,204208636,180044,2521662,1768,4443010,2804516,4929412,961,8894,23828517,29790401,0,0,25643400,415014540
1,3900,28439551,42022,108483482,190160609,175095,2717473,2241,5345084,3350071,5913919,881,9202,24841840,28393347,0,0,21312155,347032148
10,100,11480537,68963,116317342,177225133,1595829,2979830,3616958,5834589,1756908,2241849,1861372,32253,16888912,22187526,16,1227,43213016,291410552
10,200,9299068,23172,119276923,285748965,75788,459864,2696,3175953,2638730,2971182,771,19048,11030066,12269526,0,0,36702207,410569271
10,300,6171543,17886,106789397,263154323,73360,659975,3186,5418488,4730166,5420757,2129,20574,11107635,10991760,0,0,30821511,337151671
11,100,11548606,68874,116401411,179442366,1470737,2822710,4033466,5631302,1895304,2473637,2093631,29214,16493589,22840756,9,1545,38477763,297742964
11,200,9356501,22794,121709365,292087365,73591,441954,2509,3130517,2674658,2988946,825,13484,11032938,12496086,0,0,37274313,411910503
11,300,3672201,9944,102699996,134726449,128778,326421,2918,4517321,4175306,4512072,928,12778,5507725,4182400,0,0,27206751,333804539
11,400,6573885,19638,124519559,269488099,90651,1413647,2915,7021200,5356119,6047712,530,12213,9603033,10644669,0,0,36554223,375621596
12,100,3111436,39901,106383177,131323965,117971,493960,1891600,3167007,1609597,1817456,256722,31310,24605312,21681061,0,0,20441706,310097092
12,200,3491812,5573,117758502,147056266,36138,320258,1970248,2862517,1499936,1665417,116771,20547,25405098,29941145,0,0,25722968,386280409
12,300,2976938,4720,105076421,137006725,105370,337220,2288405,3455517,1856282,2002740,87959,25056,21189239,12613900,80,0,17897217,340692028
12,400,3498656,5134,114822555,145009314,3373,202905,1964746,2972474,1532921,1602284,207060,18846,25538013,21926707,62,0,20997524,412360556
12,500,2982240,4817,106619000,138916814,107734,335492,2346279,3449891,1894397,1995764,69111,14975,31462249,19590748,88,8,19044420,329424148
12,600,3597227,5256,125220515,156960514,3440,284374,2100840,3028107,1376339,1477749,63284,16214,30827195,21266906,91,0,21958286,410486154
12,700,3060427,4822,102885129,137314893,4020,235854,2038429,2318260,1433386,1323024,253121,29631,40486424,38665749,86,17,18982226,347185370
12,800,3565222,6541,123449249,158137068,110547,419576,2107186,3183562,1635332,961071,87890,28581,33212934,40764726,0,0,25781228,391475222
12,900,3162362,4409,103209163,134730032,3591,278317,2042102,3383126,1809998,1038069,265497,23616,38422611,44330308,0,0,22132510,366490274
12,1000,3472390,5346,123906619,161389465,5544,303613,2355141,3618683,1831404,1450400,86889,11968,27091026,24314847,0,0,20545616,362189787
12,1100,3535060,5242,114468574,143532082,110239,379165,1937703,3012604,1646461,2009040,121845,13103,22330759,28658610,0,0,25119329,395003679
