Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
7,17800,6955134,3635,117869259,196546537,437384,4752609,3131,9097204,1978011,5323932,1196502,28154,33498125,24256815,22,0,37512132,249631492
7,17900,8235372,3752,127044340,219321084,126330,4301247,2850,7851238,1536485,4174755,1013159,21691,32161402,27754313,7,0,45045844,300676218
7,18000,6761372,3482,105795016,182124012,113035,4092845,2774,8757641,2003404,5321287,1419806,28005,33918873,28335156,7,0,39734221,257837065
7,18100,7867178,3901,127024200,208914630,436459,4719641,3027,8907781,1891272,4727207,1014861,26633,29789164,23690960,7,0,46911631,279126839
7,18200,7817099,3437,111558892,189195469,111816,3851559,2522,7679503,1658654,4662067,1317286,25148,35810056,28573083,0,0,45078693,300286978
7,18300,7129801,3599,121329154,210816519,127771,4609825,3027,9079700,2000692,5292747,1293742,24500,30404983,23627562,0,0,37481898,249460063
7,18400,7803872,4004,127041067,204345766,431981,4382103,2674,7703395,1657866,4416543,1006908,24266,33176449,28522106,15,0,48514088,289218636
7,18500,6797881,3244,105829694,186085338,113073,4231550,2875,8887531,1865692,5018348,1377663,21840,35783502,28450178,15,0,37995311,251521077
7,18600,8236474,3496,127091369,218889535,131853,4581645,2976,8731345,1800984,4617697,1043236,19000,27221666,23572627,14,0,45131422,298609339
7,18700,7329147,3370,108375984,176127507,413145,3959666,2573,7951806,1848810,5152739,1196455,28181,35934761,28674830,0,0,48437519,282906666
7,18800,7304480,3419,124512909,214741344,137774,4557915,3027,9012062,1893821,5017904,1411197,23955,31633488,23942323,0,0,37529591,255934889
7,18900,8245407,3716,125744771,209752146,122607,4078806,2648,7575906,1690711,4423767,1038978,23924,32201182,28495388,7,0,45101306,300559433
7,19000,6272955,3068,107132211,179199964,424862,4484099,3027,9031197,2015646,5299738,1198035,21210,35905262,27818107,14,0,41422400,234730450
7,19100,8215099,3964,127030824,217985738,132334,4603927,3052,8480901,1646056,4140896,1365095,20742,29742363,24822518,7,0,45148913,300137083
7,19200,7386642,3118,105856647,182168816,111802,3841080,2573,8169790,1896841,5296238,1192093,31165,33864978,28557712,0,0,44308901,284565865
7,19300,7313457,3604,127038407,205174206,547309,4808512,3027,9030786,1978053,5203347,1125405,19977,30567933,23919957,7,9,40902766,254203222
7,19400,8217662,3689,122230676,204384719,121738,3970892,2573,7564076,1542771,4261452,1453259,27105,35042693,28662784,14,9,45258459,299432336
7,19500,6784866,2992,110665405,195902813,122983,4409326,2976,9077126,1991298,5309821,1193746,30012,34173357,26661597,0,0,37801789,249058216
7,19600,7829600,3986,126378701,205303099,450613,4606716,2875,8255492,1721631,4403978,990884,23896,30099219,25955941,14,0,45567867,288539071
7,19700,7241313,3122,105868774,182722998,107255,3908055,2674,8338354,1884447,5018360,1577722,26831,35697923,28761261,21,0,42885739,277011406
7,19800,7828638,3613,127050756,218969890,130944,4600769,3027,9101181,1991115,5031704,1086657,18636,28686161,23918528,0,0,39954961,273337843
7,19900,7713803,4027,118779756,190517800,171188,3909341,2522,7578712,1677559,4702374,1107600,27843,35766777,28806978,21,0,45254482,290985672
7,20000,6835255,3257,114097287,197733105,437024,4706574,3038,9026305,1897717,4989454,1571095,25053,34006352,25860070,7,0,37794917,250459489
7,20100,8126695,4207,127032702,217880001,133266,4407529,2850,8105180,1638618,4434609,995499,19437,30338594,26940124,7,0,45045292,299468113
7,20200,6346421,3329,105845902,169226547,287867,3999976,2850,8536387,1976831,5310561,1194160,22407,35889805,28981387,14,0,41563717,258534713
7,20300,8027551,3496,127078759,218858683,353647,4715551,3027,9002175,1838529,4598890,1427091,20548,28640418,24034553,0,0,41573255,282178389
7,20400,8123238,3910,115157199,194805176,111608,3801086,2522,7579250,1759515,4830685,1137622,29000,35718982,28885098,7,0,46232720,296992608
7,20500,6471259,3491,117593343,196020134,322032,4583639,3027,9037277,1998556,5267635,1189182,23028,33601723,24979508,14,0,37336709,245853914
7,20600,8150406,3734,127030733,218301917,358731,4522038,2775,7843212,1597411,4229767,1373708,30732,29971221,27978344,28,0,44726439,300458551
7,20700,6771755,3811,105810914,181569533,117010,4127143,2775,8751222,1991056,5317878,1198519,26587,35878061,28946584,21,0,41990198,251532688
7,20800,7919129,3896,127028820,208448156,442136,4674197,3027,8905989,1845490,4765650,1024177,20575,29814374,24131236,14,0,43256687,289489854
7,20900,7859543,3500,111603423,189768511,121189,3928082,2522,7692029,1673357,4771301,1652225,32514,33338143,28895349,0,0,45042469,300802090
7,21000,7012462,3167,121330313,210923448,131046,4575900,3027,9103299,1989604,5329297,1187409,23473,32502427,24259251,0,936,41891853,238719270
7,21100,8001645,3784,127039326,204788791,436091,4253338,2674,7708252,1687023,4438478,1012633,19693,33236835,29058424,7,0,45277504,300522727
7,21200,6824597,3149,105865579,186891841,165364,4355292,2951,8925245,1940987,5090049,1573942,31740,33897742,29078837,14,9,40083262,262875546
7,21300,8148930,3878,127068050,217913431,134146,4572578,3103,8986980,1920126,4812667,1035799,21120,29941150,24234392,14,504,45363032,279180416
7,21400,7673557,3356,112998278,178865913,521497,3932312,2522,7677843,1793606,4957391,1167423,19481,35934899,29228850,7,0,44998540,299528973
7,21500,7076281,3932,119720915,207356359,134629,4699866,3027,8993152,1881621,5169535,1550110,23658,31159216,24449295,7,0,37413719,248376099
7,21600,8048954,3775,127035763,216914012,125891,4258388,2674,7794232,1642289,4434257,999407,21129,32695660,28947151,7,612,48689259,289229342
7,21700,6594929,3586,105804349,174506342,424604,4282928,2876,8877960,1982696,5325821,1200340,26038,35811749,29172850,7,0,38753403,254385729
7,21800,8158382,3757,127055359,218547148,144663,4688920,3027,8712896,1685561,4489866,1002896,19909,29765254,24280033,7,0,44302899,295482041
7,21900,7490615,3469,109608276,186841522,111508,3799059,2522,7857210,1852834,5078804,1464563,22987,33886953,29055481,7,0,48953684,284996061
7,22000,7277487,3734,123283827,203548517,439391,4731645,3027,8965084,1951884,5069055,1088232,28072,31155058,24289161,21,0,37430253,252577466
7,22100,8081107,4202,126506553,210194668,119019,4153345,2674,7507198,1567244,4075784,1384542,32766,31841174,28037498,0,0,45053592,298046868
7,22200,6479128,5147,105835203,179073817,387484,4322111,2876,9087835,1981452,5322741,1198594,24319,35622049,28895350,6,0,39537416,242191758
7,22300,8268695,3361,127057741,219095897,259647,4756553,2998,8544177,1685245,4485061,989594,24319,29777624,24793372,6,0,45304487,300944931
7,22400,7542674,3689,106271826,182651955,111714,3806871,2648,8060535,1859082,4986724,1572053,30593,33971214,29157436,6,0,45401928,288743143
7,22500,7170936,3523,126640353,205410436,523504,4632048,3103,9052462,1999901,5229299,1127849,28680,30903798,24333993,0,504,39608211,253852999
7,22600,8255495,3770,123887289,207627206,162300,4161381,2573,7553185,1594144,4440559,1060848,30044,34623735,29176273,41,0,45114344,300941074
7,22700,6760194,3280,109039378,193396736,121342,4381551,2976,9104358,2016488,5138419,1571119,27393,33744002,27879027,6,0,37616746,249653453
7,22800,7863469,3761,127065856,208603478,443523,4625345,2876,8409888,1754788,4441805,1002917,20732,29971613,25929335,6,0,48360453,290689970
7,22900,7351111,3581,105851238,181684928,196836,4029041,2674,8211233,1860880,5321233,1202299,22352,35910952,29370312,0,0,43761788,280431971
7,23000,7619022,3536,127049817,218764397,134155,4614475,3027,9101766,1982434,4943993,1595060,28234,27330733,24444545,0,0,38949450,269943518
7,23100,7972627,4067,120333602,193825503,399249,4040834,2522,7600475,1641105,4629104,1088945,24238,35603786,29329918,6,0,48993024,287867155
7,23200,6875658,3140,112540755,197719662,167708,4591406,3049,9039874,1870611,5236199,1199507,23014,35132109,26993210,6,0,37480339,250466903
7,23300,8155250,4373,127013370,218094639,133101,4424386,2876,8222125,1683648,4327712,1372540,25233,28568769,26904736,6,0,44861231,298413376
7,23400,6754744,3266,105857175,180916870,114344,3942508,2674,8430258,2001777,5297863,1190815,28158,35804601,29443233,6,549,47214770,257470578
7,23500,7943010,4085,126882208,209015932,440538,4725413,3103,8991843,1843843,4700434,1139013,21988,29970042,24592760,0,0,40463428,277620239
7,23600,8231989,3433,117112147,198194763,112872,3855837,2598,7584263,1711180,4729946,1286378,36267,33779377,29210020,6,18,45045283,300158682
7,23700,6365372,3469,115813512,202945956,121417,4604335,3027,9091139,1979940,5318566,1193540,34494,33937003,25823778,40,36,41194011,237363526
7,23800,8187437,3739,127055038,205455640,544586,4553129,2775,7927112,1528682,4113974,1258564,30475,31465735,28205427,13,0,44924497,300716701
7,23900,6842057,3559,105841048,181619228,111653,4049031,2775,8676469,1988787,5320678,1195777,23756,33940046,29361602,20,0,40296960,261992519
7,24000,7804469,3730,127037496,217321233,126052,4565454,3027,9025370,1895221,4811103,1033020,20305,29859624,24600214,13,0,45725247,275300007
7,24100,8058137,3703,113293711,182935753,421009,3953482,2522,7599311,1647333,4536466,1578973,25971,35756143,29499950,33,27,44942010,300220550
7,24200,7046837,3136,119642949,208532357,128763,4587575,3027,9077132,2004248,5269280,1191370,32995,30990163,24717572,13,0,37812604,250059589
7,24300,7772520,3833,127031284,212037614,124463,4260815,2674,7797727,1682757,4430321,995860,23594,32713623,29514318,6,0,47531888,288915029
7,24400,6784532,2992,105894386,175249857,424884,4348279,2876,8804538,1884669,5005247,1572314,26754,35768766,29656160,6,0,38835266,255688652
