Path,Cycles(s),BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
15,7200,8259529,8472,110701614,203291105,726141,2032703,2081904,9895025,7315281,9020410,886184,22990,33738210,34674408,0,0,59379390,262050555
15,7300,6674187,9093,121137233,186568457,362194,2168890,5704080,9227958,6874011,8166433,677948,25299,23707208,25641596,0,0,40018705,250387676
15,7400,19329542,11324,126607424,216307810,1030616,2363772,5971036,8221021,4417011,5466948,479684,20077,25365520,27007139,0,549,52631165,302829879
15,7500,9849097,7374,105490610,214880840,902578,2141027,3961859,11583750,8081394,9536429,804603,20873,35303482,34760684,0,0,46962689,245657694
15,7600,3883095,8440,126599991,198304714,459753,2045720,4041635,8564606,6280913,6866092,958265,21144,23301537,26618320,0,0,52508753,273938593
15,7700,16998959,11252,105545622,175630510,642204,2153169,5804856,8262643,5140962,6927144,603368,28931,26449395,27800035,0,0,52103195,278748278
15,7800,14335094,10110,126600817,231980681,1163361,2534887,6275271,12179524,7849836,8832000,454514,19001,29029589,26849439,0,0,43240606,280014354
15,7900,5134736,8071,122872596,205338220,553303,1925845,2963756,8134669,6250038,7539648,953347,22701,31558350,34658291,0,0,57552401,258126413
15,8000,10555811,10996,109245300,178259285,348600,2086038,4410497,8928008,6112475,7556953,780769,26046,24941284,27661940,0,18,41303022,243542027
15,8100,17121204,9898,126586041,224040128,1136743,2696145,7800293,10281717,6042303,6816516,439812,17691,24376607,24442830,0,0,50724784,316843915
15,8200,9009803,7873,105387541,199938838,921057,1888156,3491997,9819775,7456771,8938985,773261,17533,36520750,36691800,0,0,59548827,258616031
15,8300,7809973,10069,126502397,198174795,463435,2262344,3302886,8927926,6147329,7535295,936266,22917,21006117,22777727,18,0,44676884,243800366
15,8400,11243342,8980,121249977,200467484,910829,1954461,5321908,8642003,5863207,6968340,552019,23804,29759905,31190782,0,639,55222370,280380541
15,8500,10971188,9034,110382586,171352453,568942,2419493,5066834,9278792,5659366,7278018,630581,30156,24656052,24494475,0,495,46964865,218469590
15,8600,7649435,8530,126403550,212725550,866890,2159477,4668938,9131073,6431781,7377624,815287,21234,26689119,28587388,0,0,55738734,275294724
15,8700,13681900,10807,103283100,174819366,784108,2113691,4386808,9128894,6036623,7667791,630013,24556,27682438,29304140,0,549,56194951,256202965
15,8800,9263657,9372,126351944,202188796,434910,2133124,5809604,8862127,6178967,7320368,774376,28531,21824413,23598472,0,0,46835424,242640442
15,8900,10195060,10465,120368794,189196317,843159,1972101,2397629,8267687,5439847,6815078,755475,25951,28019593,28964410,9,549,56543315,267449210
15,9000,11628383,7846,111348321,187161040,869718,2220135,6303235,9485442,6393721,7696987,399124,24245,28593019,27592756,0,1162,48712675,229390493
15,9100,8163882,9444,126430987,198023225,644731,2392439,3650376,8519757,5976703,7166389,804250,22584,23360998,26068761,0,0,58732355,253892133
15,9200,9165026,7964,105252160,173160066,747050,1990846,4423950,9154158,6188423,7418406,880463,24456,29967295,30908556,9,9,54952325,248189887
15,9300,10647538,11748,126302031,199307011,730375,2139248,3119997,9168462,6017513,7239937,567092,25087,24042869,24396579,0,1297,48212040,261464101
15,9400,11527869,9961,119091250,180858661,460979,1890637,4289763,7240165,4654359,6102176,684786,28778,24232571,27415219,9,558,57361004,264454183
15,9500,5452002,6987,112485011,186183291,778434,2134332,4854343,10118743,7253559,8618898,718003,25509,28139726,27660340,0,0,49082662,219756544
15,9600,14346110,11482,126408491,209122980,996273,2289563,4734852,8974910,5222257,6283512,669890,21301,25085073,27025131,0,306,58107410,272648999
15,9700,8834520,8657,105402566,166039241,332650,1886959,5002393,8094894,6113380,7580159,755163,28102,25849365,27313131,0,0,48834109,260560984
15,9800,9691387,11473,126389887,201665547,803454,2242947,2566624,9200961,5798850,6880843,793481,27625,23193139,24638428,54,1631,52168957,237353005
15,9900,12450707,10123,117452926,198485767,824440,1952779,5728273,8637406,5753263,6739408,466838,25901,29496044,30304038,0,513,56162601,280940854
15,10000,10698626,9476,114231840,170442639,674434,2359421,4966482,9192821,5791401,7118195,786864,27139,24211918,23924400,0,549,46445346,221178492
15,10100,7049338,8400,126370437,210062542,644752,2075518,4087415,8602850,6056919,7173621,764753,21219,25676230,28714054,0,0,56291668,267971759
15,10200,13395213,8940,105383429,180276736,865166,2117172,4167524,9215953,6281237,7670590,649111,24933,28095321,29001965,0,162,52066096,254345695
15,10300,10525025,9791,126425668,196774694,526395,2093233,6600882,8708551,5892584,6799490,754706,25176,21694502,23764199,9,1090,48749358,254422123
15,10400,9716915,9759,114813057,189440204,775660,2034063,2631516,8508526,5916487,7539202,552323,26666,28594038,29224121,0,0,61003962,257769592
15,10500,11264777,10425,116680097,192162784,877642,2333993,5559504,9650083,6342615,7461934,690714,23803,27948019,26584125,0,504,48639258,222256497
15,10600,10902305,11208,126255197,189280075,617049,2250079,4908087,7954156,5214575,6543755,618211,25379,21432008,24676603,0,0,53304104,277972018
15,10700,6766639,7761,105057863,171972911,609744,1994086,2534137,8914281,6413422,7606623,943106,27368,29765234,31704998,0,0,49198275,234840904
15,10800,13708857,10763,126382064,214496752,833474,2267558,5920628,9744981,6157883,7457468,516647,23101,24035106,23387651,0,117,51157134,275399549
15,10900,7322051,9116,124241497,165997760,576916,1739239,2154228,6195109,4266728,5168430,844045,20845,24642806,28132073,0,0,53512640,265199053
15,11000,11860933,9084,106683062,178178587,660307,2230173,6298547,9009032,6003408,7500607,558156,29988,26412866,27829561,0,261,44258249,240372881
15,11100,9150966,10155,126475835,204342153,541210,2299161,2701801,8954930,5681128,6793997,742918,23186,22859174,24776349,0,0,58179543,262304769
15,11200,11102007,8198,105267132,174752540,834641,1819441,5432009,9129892,6217786,7646679,600752,24667,30759307,31295886,9,0,57022431,260797437
15,11300,11021555,10178,126250043,194481928,738035,2387068,5101550,9213912,5920526,7010410,714019,22925,20996192,20791576,0,1108,44599538,239823850
15,11400,7458862,9570,122561595,194827227,573873,1995848,2566941,7775462,5758535,7028096,780648,26351,28804222,31501500,0,0,56333343,270862515
15,11500,13482209,9192,108829598,193741116,925463,2396969,6265134,10570779,6935510,8241877,705686,23708,28963215,28096429,9,0,46607479,238103788
15,11600,10422572,10061,126405087,197512221,563666,2031780,5408530,7716122,4793709,5523570,728658,23632,20768208,24368276,0,81,55819289,269220763
15,11700,7425833,8504,105051291,170468026,623977,1892740,3189826,9064203,6784662,8469711,723693,27048,28091927,29058244,0,0,57386044,243462713
15,11800,13055217,11510,126395358,207475605,929940,2263249,5519544,9998706,6453639,7269563,587014,21723,25043361,24596067,0,1495,50572378,241475698
