Path,BR_INST_RETIRED,BR_MISS_PRED_RETIRED,CPU_CLK_UNHALTED,INST_RETIRED,LLC_MISSES:0x41,LLC_REFS:0x4f,arith:fpu_div_active,l1d:0x1,l2_rqsts:0x1,l2_rqsts:0x3,l2_rqsts:0x8,l2_rqsts:0x20,mem_trans_retired:0x2,mem_uops_retired:all_stores,misalign_mem_ref:0x1,misalign_mem_ref:0x2,resource_stalls:any,uops_dispatched:core
10,10786875.655256724,34697.215158924206,117903326.20782396,218978850.76772615,67699.48166259169,1289270.9095354523,6332716.638141809,5913999.070904645,4083239.158924205,4889045.454767726,346684.83618581906,21638.276283618583,27566272.83374083,28430495.320293397,0.1784841075794621,6.288508557457213,44720682.64792176,296599662.0782396
11,10797031.19117647,34608.240196078434,118034173.75,219101960.05882353,73036.26715686274,1285095.6911764706,6289679.860294118,5922349.176470588,4083008.779411765,4884051.68627451,348974.4387254902,18751.754901960783,27504095.98529412,27610821.81617647,0.19852941176470587,0.19852941176470587,43820964.00245098,284301787.0294118
12,8836001.0,37356.0,114191791.0,240971770.0,613385.3333333334,1409395.0,3560909.0,4682639.0,2929061.6666666665,3574276.3333333335,776067.6666666666,27300.666666666668,12762042.0,14287476.666666666,0.0,806.0,38698621.0,332024426.0
13,5167908.142857143,19574.714285714286,114957845.85714285,134572145.2857143,318342.4285714286,667906.1428571428,1253822.857142857,3180729.4285714286,2567911.4285714286,2877543.5714285714,276116.28571428574,14101.714285714286,6784294.428571428,7757596.0,1.2857142857142858,643.4285714285714,32816388.85714286,350180067.85714287
14,13751721.411764706,41173.06862745098,117934970.89215687,251539421.37745097,40908.25490196078,1261900.5416666667,6041213.605392157,5353735.588235294,2995917.044117647,3844234.9534313725,224272.25980392157,20165.904411764706,34101513.02205882,34232180.816176474,0.2647058823529412,2.9313725490196076,35784642.941176474,325644112.4852941
15,12146054.149144255,35291.69926650367,117980510.4621027,219286955.32518336,41914.19315403423,1196699.0635696822,5661371.244498777,6156284.985330073,4278055.865525672,4984288.46210269,400760.488997555,19829.718826405868,30321175.41809291,30450120.990220048,0.13202933985330073,0.022004889975550123,45039385.48410758,288902524.3202934
16,11695627.220588235,34348.03431372549,117988623.28431372,214890571.5220588,56766.01960784314,1229262.8112745099,5210785.031862745,5799365.330882353,3955049.4534313725,4668674.012254902,395342.59803921566,22816.13480392157,28289983.401960783,28400609.845588237,1.8357843137254901,1.036764705882353,44814882.77696078,280332037.0514706
17,7324394.454545454,27432.363636363636,116364933.0909091,161142629.36363637,175258.0,309639.63636363635,1114138.9090909092,1467792.8181818181,787827.1818181818,968010.2727272727,110801.36363636363,18744.0,9182206.181818182,9671169.363636363,39.45454545454545,141.9090909090909,35565456.54545455,330132384.72727275
18,6324140.529411765,8825.64705882353,116779610.0,159341606.47058824,59695.82352941176,134896.0,2833.294117647059,272413.4705882353,10875.29411764706,22967.0,128424.23529411765,8866.176470588236,11229985.94117647,8553893.823529411,3.588235294117647,95.3529411764706,46073623.823529415,309045102.4705882
19,12229864.0,51811.0,117319617.0,200904548.0,40173.0,129465.0,2799.0,550857.0,501098.0,568913.0,2543.0,21068.0,13201131.0,13227688.0,0.0,0.0,45579339.0,284345254.0
